entity,page_id
Hoofdpagina,5905128
Dieuwertje_Blok,121409
Stijn_de_Vries,5928210
ChatGPT,5710983
Peter_de_Bie,1946510
J.D._Vance,5882307
Elon_Musk,2807870
Victoria_Warmerdam,5936616
Donald_Trump,52648
Lijst_van_seizoenen_van_Wie_is_de_Mol?,3049956
Carnaval,12259
Signal_(software),4929286
Gene_Hackman,227462
Alawieten,58305
Volodymyr_Zelensky,5198800
Lijst_van_alternatieve_Nederlandse_plaatsnamen_tijdens_carnaval,365860
Mona_Lisa,21320
Nederland,1146
Bob_Dylan,21148
Wie_is_de_Mol?,948599
The_Brutalist,5884199
Noord-Atlantische_Verdragsorganisatie,6907
Vastentijd,6574
Cleopatra_VII,22484
Groenland,626
Steve_Stevaert,37154
Ingrid_Coenradie,5877704
Louisa_Janssen,5266937
Lijst_van_personen_overleden_in_maart_2025,5936050
Ellen_Parren,4726889
Elvis_Presley,1421112
Lieke_Klaver,5498736
Angie_Stone,689399
Wikipedia:Wikiproject/Gendergap/InternationaleVrouwendag2025,5923864
Anora_(film),5865783
Canada,6676
Tessel_Blok,5065461
Hantavirus,581113
Roos_Moggré,1811253
Oekraïne,14944
Nepobaby,5726597
Alex_van_Warmerdam,48479
Verenigde_Staten,1838
Ursula_von_der_Leyen,1926494
Ramadan,25958
Valerie_Van_Peel,4009550
Vladimir_Poetin,26270
Usha_Vance,5926659
Aswoensdag,60
Marc_van_Warmerdam,319463
Roxy_Dekker,5821277
Colonel_Tom_Parker,148518
Wolf_Man_(2025),5922452
The_White_Lotus,5753159
Reinout_Oerlemans,278092
Christien_Brinkgreve,1405853
Mickey_17,5924963
Marjolein_Faber,2197535
Eurovisiesongfestival_2025,5866425
Nederlandse_Omroep_Stichting,18344
Yellowstone_(televisieserie),5604906
Freddie_Mercury,18243
Femke_Wiersma,5771924
Arend_Jan_Heerma_van_Voss,694155
Robin_van_Persie,118983
Samuel_Chapple,5930997
Melania_Trump,4427288
Jeffrey_Sachs,572139
Martin_Ødegaard,4035040
Stefan_de_Vrij,1735218
Dick_Schoof,4440635
Dick_Blok,216987
Global_Peace_Index,4583768
Faeröer,5721
Jeroen_Kramer,914204
Hanna_Verboom,663176
Victoria_Koblenko,238610
Michelle_Trachtenberg,575771
Pamela_Bach,1076231
Elisabeth_in_Beieren_(1837-1898),82963
Keir_Starmer,5254334
Brûni_Heinke,439913
UEFA_Champions_League,24737
Michiel_de_Ruyter,17801
Lijst_van_presidenten_van_de_Verenigde_Staten,1316
Sinterklaasjournaal,384421
Paus_Franciscus,166121
Strade_Bianche,1222099
Hadewych_Minis,1368688
Natriumcyanide,881061
Arcadia_(televisieserie),5727121
Maaike_Martens,4942973
Adrien_Brody,508990
België,135
Pia_Douwes,318864
Dancing_with_the_Stars_(Vlaanderen),5121455
Rusland,1499
AFC_Ajax,9218
Internationale_Vrouwendag,193381
Claude_(zanger),5721175
Edwin_de_Vries,15225
Lijst_van_personen_overleden_in_2025,5919209
Nadja_Hüpscher,271038
Koen_Schuiling,1815293
Big_Brother_2025,5920838
Europese_kampioenschappen_indooratletiek_2025,5736579
Kieran_Culkin,1045859
Generatie_Z,5160189
Kids_With_Buns,5734296
Justin_Trudeau,4401664
Margriet_van_der_Linden,1271267
Lotte_Claes,5913933
Russisch-Oekraïense_Oorlog,3958892
Fascisme,502
Jennifer_Hoffman,116255
Marie_Antoinette_van_Oostenrijk,109931
Blake_Lively,871387
Adolf_Hitler,83
Leonardo_da_Vinci,10234
Max_Verstappen,2996807
Peter_Bosz,390376
Lijst_van_landen_naar_bnp,193784
Ik_ben_geen_robot,5936740
Denzel_Dumfries,4335432
Tweede_Wereldoorlog,1739
YouTube,490956
Cyprus,12245
A_Complete_Unknown,5915103
Timothée_Chalamet,4933999
Kernmacht,52413
Anna_Boleyn,36503
Omloop_Het_Nieuwsblad,24427
Marco_Rubio,2854274
Mikey_Madison,5758275
Memorandum_van_Boedapest_(1994),5624170
Napoleon_Bonaparte,1191
Eerste_Wereldoorlog,4483
Dolly_Parton,50347
Merel_Westrik,2306380
Hendrik_VIII_van_Engeland,35700
